id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes;source_file
3;Intesa Sanpaolo Bank;Depozit 4M;300;100000.0;EUR;4;4.0;months;0.01;0.0;0.01;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 5M;300;100000.0;EUR;5;5.0;months;0.01;0.0;0.01;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 6M;300;50000.0;EUR;6;6.0;months;0.8;0.0;0.8;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 6M;50000;100000.0;EUR;6;6.0;months;1.0;0.0;1.0;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 7M;300;50000.0;EUR;7;7.0;months;0.8;0.0;0.8;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 7M;50000;100000.0;EUR;7;7.0;months;1.0;0.0;1.0;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 8M;300;50000.0;EUR;8;8.0;months;0.8;0.0;0.8;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 8M;50000;100000.0;EUR;8;8.0;months;1.0;0.0;1.0;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 9M;300;50000.0;EUR;9;9.0;months;0.8;0.0;0.8;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 9M;50000;100000.0;EUR;9;9.0;months;1.0;0.0;1.0;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 10M;300;50000.0;EUR;10;10.0;months;0.8;0.0;0.8;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 10M;50000;100000.0;EUR;10;10.0;months;1.0;0.0;1.0;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 11M;300;50000.0;EUR;11;11.0;months;0.8;0.0;0.8;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 11M;50000;100000.0;EUR;11;11.0;months;1.0;0.0;1.0;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 12M;300;50000.0;EUR;12;12.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 12M;50000;100000.0;EUR;12;12.0;months;1.4;0.7000000000000002;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 13M;300;50000.0;EUR;13;13.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 13M;50000;100000.0;EUR;13;13.0;months;1.4;0.7000000000000002;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 14M;300;50000.0;EUR;14;14.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 14M;50000;100000.0;EUR;14;14.0;months;1.4;0.7000000000000002;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 15M;300;50000.0;EUR;15;15.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 15M;50000;100000.0;EUR;15;15.0;months;1.4;0.7000000000000002;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 16M;300;50000.0;EUR;16;16.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 16M;50000;100000.0;EUR;16;16.0;months;1.4;0.7000000000000002;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 17M;300;50000.0;EUR;17;17.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 17M;50000;100000.0;EUR;17;17.0;months;1.4;0.7000000000000002;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 18M;300;50000.0;EUR;18;18.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 18M;50000;100000.0;EUR;18;18.0;months;1.4;0.7000000000000002;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 19M;300;50000.0;EUR;19;19.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 19M;50000;100000.0;EUR;19;19.0;months;1.4;0.7000000000000002;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 20M;300;50000.0;EUR;20;20.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 20M;50000;100000.0;EUR;20;20.0;months;1.4;0.7000000000000002;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 21M;300;50000.0;EUR;21;21.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 21M;50000;100000.0;EUR;21;21.0;months;1.4;0.7000000000000002;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 22M;300;50000.0;EUR;22;22.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 22M;50000;100000.0;EUR;22;22.0;months;1.4;0.7000000000000002;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 23M;300;50000.0;EUR;23;23.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 23M;50000;100000.0;EUR;23;23.0;months;1.4;0.7000000000000002;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 24M;300;50000.0;EUR;24;24.0;months;1.0;1.1;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 24M;50000;100000.0;EUR;24;24.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 25M;300;50000.0;EUR;25;25.0;months;1.0;1.1;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 25M;50000;100000.0;EUR;25;25.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 26M;300;50000.0;EUR;26;26.0;months;1.0;1.1;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 26M;50000;100000.0;EUR;26;26.0;months;1.2;0.9000000000000001;2.1;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
