id;bank;product_name;amount_min;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes;source_file
2;OTP banka d.d.;Depozit od 15 do 30 dni;nad 15.000 do 50.000;EUR;15;30;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 15 do 30 dni;nad 50.000;EUR;15;30;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 31 do 90 dni;do 15.000;EUR;31;90;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 31 do 90 dni;nad 15.000 do 50.000;EUR;31;90;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 31 do 90 dni;nad 50.000;EUR;31;90;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 91 do 180 dni;do 15.000;EUR;91;180;days;0.5;0.0;0.5;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 91 do 180 dni;nad 15.000 do 50.000;EUR;91;180;days;0.5;0.0;0.5;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 91 do 180 dni;nad 50.000;EUR;91;180;days;0.5;0.0;0.5;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 181 do 365 dni;do 15.000;EUR;181;365;days;0.75;0.0;0.75;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 181 do 365 dni;nad 15.000 do 50.000;EUR;181;365;days;0.75;0.0;0.75;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 181 do 365 dni;nad 50.000;EUR;181;365;days;0.75;0.0;0.75;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
5;Sparkasse;Depozit 31-60 days;500;EUR;31;60;days;0.6;0.0999999999999999;0.7;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 61-90 days;500;EUR;61;90;days;0.6;0.0999999999999999;0.7;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 91-120 days;500;EUR;91;120;days;0.9;0.0999999999999999;1.0;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
5;Sparkasse;Depozit 121-150 days;500;EUR;121;150;days;0.9;0.0999999999999999;1.0;https://www.sparkasse.si/sl/prebivalstvo/ceniki-in-obrestne-mere/varcevanja;2026-02-10;scraped from Sparkasse GEM JSON tabela;sparkasse_depoziti.csv
