id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;offer_type;source;url;last_updated;notes;source_file
3;Intesa Sanpaolo Bank;Depozit 10M;50000;100000.0;EUR;10;10.0;months;1.0;0.0;1.0;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 11M;300;50000.0;EUR;11;11.0;months;0.8;0.0;0.8;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 11M;50000;100000.0;EUR;11;11.0;months;1.0;0.0;1.0;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 12M;300;50000.0;EUR;12;12.0;months;1.2;0.9000000000000001;2.1;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;POSEBNA PONUDBA - Depozit 12M;300;50000.0;EUR;12;12.0;months;2.1;0.0;2.1;special;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;posebna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 12M;50000;100000.0;EUR;12;12.0;months;1.4;0.7000000000000002;2.1;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;POSEBNA PONUDBA - Depozit 12M;50000;100000.0;EUR;12;12.0;months;2.1;0.0;2.1;special;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;posebna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 13M;300;50000.0;EUR;13;13.0;months;1.2;0.9000000000000001;2.1;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;POSEBNA PONUDBA - Depozit 13M;300;50000.0;EUR;13;13.0;months;2.1;0.0;2.1;special;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;posebna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 13M;50000;100000.0;EUR;13;13.0;months;1.4;0.7000000000000002;2.1;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;POSEBNA PONUDBA - Depozit 13M;50000;100000.0;EUR;13;13.0;months;2.1;0.0;2.1;special;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;posebna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 14M;300;50000.0;EUR;14;14.0;months;1.2;0.9000000000000001;2.1;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;POSEBNA PONUDBA - Depozit 14M;300;50000.0;EUR;14;14.0;months;2.1;0.0;2.1;special;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;posebna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 14M;50000;100000.0;EUR;14;14.0;months;1.4;0.7000000000000002;2.1;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;POSEBNA PONUDBA - Depozit 14M;50000;100000.0;EUR;14;14.0;months;2.1;0.0;2.1;special;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;posebna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 15M;300;50000.0;EUR;15;15.0;months;1.2;0.9000000000000001;2.1;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;POSEBNA PONUDBA - Depozit 15M;300;50000.0;EUR;15;15.0;months;2.1;0.0;2.1;special;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;posebna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 15M;50000;100000.0;EUR;15;15.0;months;1.4;0.7000000000000002;2.1;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;POSEBNA PONUDBA - Depozit 15M;50000;100000.0;EUR;15;15.0;months;2.1;0.0;2.1;special;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;posebna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 16M;300;50000.0;EUR;16;16.0;months;1.2;0.9000000000000001;2.1;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
